,2009,2010,2011,2012,2013,2014,2015,2016,AggregateTravelTime,BldgArea,MedianHI,NumBike,NumWalk,NumWorkers_Transit,Salecount,Saleprice,TotalPopRace,TotalWhite,Tract,Under18,Year,pctC,pctM,pctR,TRACTCE,Shape_Area
36,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,42607922597466.44,120208.0,0.86,6.03,70.34,0.10614525139664804,38339137.93103448,580,58.62,1100,0.0,2013,0.9916332027459306,0.0,0.0,1100,1.7952724596e-05
37,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2308.84,39439523299864.92,103500.0,0.71,9.13,60.49,0.0335195530726257,14000000.0,701,64.34,1100,0.03,2014,0.9909610507439548,0.0,0.0,1100,1.7952724596e-05
38,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2295.24,39093882170752.82,107946.0,0.52,13.03,59.77,0.0670391061452514,4600666.666666667,967,61.63,1100,0.05,2015,0.9908811345920312,0.0,0.0,1100,1.7952724596e-05
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2162.81,44715602676758.18,114844.0,1.6,12.72,55.16,0.00558659217877095,30119000.0,1124,67.88,1100,0.07,2016,0.9920275736331432,0.0,0.0,1100,1.7952724596e-05
40,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1368.02,15176475452071.82,82206.0,0.0,8.05,22.05,0.0653061224489796,3000000.0,2186,74.15,1300,0.08,2009,0.3397773657264725,0.19166460992593626,0.4652305342674101,1300,3.1235908594e-05
41,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1168.6,15176475452071.82,92599.0,0.0,6.4,25.45,0.07755102040816328,705000.0,2236,69.81,1300,0.08,2010,0.3397773657264725,0.19166460992593626,0.4652305342674101,1300,3.1235908594e-05
42,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1132.39,15176475452071.82,95588.0,0.0,4.45,26.06,0.04489795918367346,11797129.5,2402,62.32,1300,0.11,2011,0.3397773657264725,0.19166460992593626,0.4652305342674101,1300,3.1235908594e-05
43,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15176475452071.82,99583.0,0.0,4.41,26.54,0.07346938775510205,15800920.25,2494,63.63,1300,0.15,2012,0.3397773657264725,0.19166460992593626,0.4652305342674101,1300,3.1235908594e-05
44,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1169.27,15176475452071.82,108170.0,0.0,7.34,26.01,0.048979591836734684,3275000.0,2561,64.31,1300,0.17,2013,0.3397773657264725,0.19166460992593626,0.4652305342674101,1300,3.1235908594e-05
45,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1159.12,15555686447787.02,109821.0,0.23,7.58,25.62,0.036734693877551024,370565.3846153846,2627,62.66,1300,0.21,2014,0.41282805373989495,0.13003626290399592,0.4538893096465087,1300,3.1235908594e-05
46,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1153.98,15555686447787.02,111500.0,0.23,7.22,24.98,0.0653061224489796,24750757.85714286,2562,63.58,1300,0.24,2015,0.41282805373989495,0.13003626290399592,0.4538893096465087,1300,3.1235908594e-05
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1054.0,17109840054489.69,105938.0,1.25,7.33,23.0,0.012244897959183671,591276.3611111111,2565,66.08,1300,0.26,2016,0.4139849570037052,0.1704027794253963,0.4126607706663443,1300,3.1235908594e-05
48,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3180069434969.48,,0.0,0.0,0.0,0.07894736842105263,360000.0,2560,35.0,1800,,2009,0.0,1.0,0.0,1800,0.000720169432408
49,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3181884563383.96,,0.0,0.0,0.0,0.0625,679000.0,2440,31.68,1800,,2010,0.0,1.0,0.0,1800,0.000720169432408
50,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3181884563383.96,,0.0,0.0,0.0,0.01644736842105263,1025833.3333333336,2399,32.43,1800,,2011,0.0,1.0,0.0,1800,0.000720169432408
51,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3185163236281.95,,0.0,0.0,0.0,0.013157894736842105,539818.1818181818,2338,29.81,1800,,2012,0.0,1.0,0.0,1800,0.000720169432408
52,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3170347833794.89,,0.0,0.0,0.0,0.0756578947368421,655515.1515151515,2308,29.42,1800,,2013,0.0,1.0,0.0,1800,0.000720169432408
53,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3205618700422.86,,0.0,0.0,0.0,0.05592105263157895,8733333.333333334,2206,31.87,1800,,2014,0.0,1.0,0.0,1800,0.000720169432408
